Location,Artist,"Song Title"
BP-0626,Louise,"Stuck In The Middle With You"
BP-0627,"Macy Gray","Sweet Baby"
BP-0628,Madonna,Amazing
BP-0629,"Manic Street Preachers","Let Robeson Sing"
BP-0630,"Michael Jackson","You Rock My World"
BP-0631,"Missy Elliot","One Minute Man"
BP-0632,"Natalie Imbruglia","That Day"
BP-0633,"Sophie Ellis Bextor","Take Me Home"
BP-0634,Travis,Side
BP-0636,"Joyce Sims","All And All"
BP-0637,"Roxy Music",Avalon
BP-0638,"Beach Boys","California Girls"
BP-0639,"Joyce Sims","Come Into My Life"
BP-0640,"Liquid Gold","Dance Yourself Dizzy"
BP-0641,Visage,"Fade To Grey"
BP-0642,"Howard Jones","Like To Get To Know You Well"
BP-0643,"Style Council","Long Hot Summer"
BP-0644,"Roxy Music","Over You"
BP-0645,"KC & The Sunshine Band","Please Don't Go"
BP-0646,Japan,"Quiet Life"
BP-0647,Lindisfarne,"Run For Home"
BP-0648,10cc,"The Things We Do For Love"
BP-0649,"Style Council","You're The Best Thing"
BP-0650,"Hi Gloss","You'll Never Know"
BP-0651,"Barry Manilow","It's A Miracle"
BP-0652,"Barry Manilow","Somewhere In The Night"
BP-0653,"Bruce Springsteen","Cover Me"
BP-0654,"Bruce Springsteen","Human Touch"
BP-0655,"Dusty Springfield & Pet Shop Boys","What Have I Done To Deserve This"
BP-0656,"Faith Hill",Breathe
BP-0657,"Faith Hill","Take Me As I Am"
BP-0658,"Fleetwood Mac","Big Love"
BP-0659,"Jack Jones","The Impossible Dream"
BP-0660,"Lionel Richie","Ballerina Girl"
BP-0661,"Lionel Richie","You Are"
BP-0662,"Petula Clark","I Couldn't Live Without Your Love"
BP-0663,"Shania Twain","No One Needs To Know"
BP-0664,"Shania Twain","What Made You Say That"
BP-0665,"Stevie Nicks","Talk To Me"
BP-0666,Beetlejuice,"Jump In Line (Shake Shake)"
BP-0668,"Del Amitri","Kiss This Thing Goodbye"
BP-0669,"Dirty Dancing",Loverboy
BP-0670,"Elvis Presley","If I Can Dream"
BP-0671,"Gary Moore","Parisienne Walkways"
BP-0672,"Kate Bush","Running Up That Hill"
BP-0673,"Kym Sims","Too Blind To See It"
BP-0674,"Lloyd Cole & The Commotions","Lost Weekend"
BP-0675,"Norah Jones","Come Away With Me"
BP-0676,"Norah Jones","Don't Know Why"
BP-0677,Proclaimers,"Sunshine On Leith"
BP-0678,"Roy Orbison","A Love So Beautiful"
BP-0679,"Rupert Holmes","Escape (The Pina Colada Song)"
BP-0680,U2,"With Or Without You"
BP-0681,ATC,"Around The World (La La La La La)"
BP-0683,"Bowling For Soup","The Girl All The Bad Guys Want"
BP-0684,"Daniel Bedingfield","James Dean (I Wanna Know)"
BP-0686,"Holly Valance","Down Boy"
BP-0688,"Ms Dynamite",Dy-na-mi-tee
BP-0690,"Oakenfold ft. Shifty Shellshock","Starry Eyed Surprise"
BP-0691,Oasis,"Little By Little"
BP-0692,"S Club Juniors","New Direction"
BP-0693,"Samantha Mumba","I'm Right Here"
BP-0694,"Sarah Whatmore","When I Lost You"
BP-0697,"Alanis Morrissette","All I Really Want"
BP-0698,"The Beatles","In My Life"
BP-0699,"Ben Folds Five",Brick
BP-0700,"Betty Boo","Doin' The Doo"
BP-0702,Genesis,"Jesus He Knows Me"
BP-0703,Lasgo,Something
BP-0704,"Led Zeppelin","Misty Mountain Hop"
BP-0705,"Lisa Loeb",Stay
BP-0706,"Nik Kershaw","The Riddle"
BP-0707,"Paula Cole","I Don't Want To Wait"
BP-0708,"S.O.S Band","Just Be Good To Me"
BP-0709,"Siouxsie & The Banshees","Dear Prudence"
BP-0710,Smiths,"There's A Light That Never Goes Out"
BP-0711,Sting,"It's Probably Me"
BP-0712,"Alice Deejay","I Want You Back In My Life"
BP-0713,"Bee Gees","Run To Me"
BP-0714,"Bob Dylan","Forever Young"
BP-0716,"David Bowie","It Ain't Easy"
BP-0717,"David Cassidy","Last Kiss"
BP-0718,"Eric Clapton","Blues Power"
BP-0719,Indeep,"Last Night A DJ Saved My Life"
BP-0721,Opus,"Live Is Life"
BP-0722,"Paul McCartney","Pipes Of Peace"
BP-0723,Radiohead,"There There"
BP-0725,"Van Morrison","Brown Eyed Girl"
BP-0726,"Van Morrison",Moondance
BP-0727,A1,"Caught In The Middle"
BP-0728,A1,"Ready Or Not"
BP-0729,Alcazar,"Crying At The Discotheque"
BP-0730,"Cliff Richard","Over The Rainbow/What A Wonderful World"
BP-0731,Damage,"After The Love Has Gone"
BP-0732,Dido,"All You Want"
BP-0733,"Emma Bunton","We're Not Gonna Sleep Tonight"
BP-0734,"Ian Van Dahl","I Will"
BP-0735,"Janet Jackson","Son Of A Gun"
BP-0736,"Riva ft. Danni Minogue","Who Do You Love Now"
BP-0737,Madonna,"Impressive Instant"
BP-0738,Muse,"Feeling Good"
BP-0739,"Ronan Keating","Love Won't Work"
BP-0740,Starsailor,Lullaby
BP-0742,Westlife,Angel
BP-0750,"Darren Hayes","Strange Relationship"
BP-0755,"The Ba Ha Men","Move It Like This"
BP-0759,"Big Bopper","Chantilly Lace"
BP-0760,"Brenda Lee","If You Love Me"
BP-0761,"Dirty Dancing",Stay
BP-0762,"Duran Duran","Hungry Like The Wolf"
BP-0763,"Eddie Holman","Hey There Lonely Girl"
BP-0764,"Ella Fitzgerald","Puttin' On The Ritz"
BP-0765,"Frankie Valli","The Night"
BP-0766,"Gene Pitney","Twenty Four Sycamore"
BP-0767,"Jimmy Nail","Big River"
BP-0768,Kiss,"God Gave Rock N Roll To You"
BP-0769,"Paul McCartney","No More Lonely Nights"
BP-0770,"Ringo Starr",Photograph
BP-0771,Sade,"Sweetest Taboo"
BP-0772,"Sam The Sham & The Pharoahs","Wooly Bully"
BP-0773,"Take That ft. Lulu ","Relight My Fire"
BP-0774,A-Ha,"The Sun Always Shines On TV"
BP-0775,AC/DC,"For Those About To Rock"
BP-0776,"Baby D","Let Me Be Your Fantasy"
BP-0777,"The Beatles","She's Leaving Home"
BP-0778,"Black Box","Ride On Time"
BP-0779,Blur,"There's No Other Way"
BP-0780,"Captain Sensible","Happy Talk"
BP-0781,"Crying Shames","Please Stay"
BP-0782,"D Ream","Shoot Me With Your Love"
BP-0783,"Dire Straits","Brothers In Arms"
BP-0784,Elgins,"Heaven Must Have Sent You"
BP-0785,Eurythmics,"There Must Be An Angel"
BP-0786,"Labie Siffre","Something Inside So Strong"
BP-0787,"Marv Johnson","I'll Pick A Rose For My Rose"
BP-0788,"Scott Walker",Joanna
BP-0789,"Andy Williams","Can't Take My Eyes Off You"
BP-0790,"Britney Spears","Beat Goes On"
BP-0791,"Britney Spears","Email My Heart"
BP-0792,"Britney Spears","I Will Be There"
BP-0793,"Charlie Rich","Behind Closed Doors"
BP-0794,"Dinah Washington","What A Difference A Day Makes"
BP-0795,"Johnny Cash","Ring Of Fire"
BP-0796,"Pat Boone","Speedy Gonzales"
BP-0797,"Patsy Cline","She's Got You"
BP-0798,"Ricky Martin","Saint Tropez"
BP-0799,"S Club 7","Stand By Me"
BP-0800,"Shania Twain","Honey I'm Home"
BP-0801,"Take That","A Million Love Songs"
BP-0802,Westlife,"Angels Wings"
BP-0803,Westlife,"Loneliness Knows Me By My Name"
BP-0804,"Anita Harris","Trains & Boats & Planes"
BP-0805,"Billie Jo Spears",Chevrolet
BP-0806,"Brook Benton","A House Is Not A Home"
BP-0807,"Burt Bacharach & Elvis Costello","God Give Me Strength"
BP-0808,"Dionne Warwick",Alfie
BP-0809,"Dionne Warwick","You'll Never Get To Heaven"
BP-0810,"Don Williams","Story Of My Life"
BP-0811,"Dr Hook","Cover Of The Rolling Stone"
BP-0812,Drifters,"Down On The Beach"
BP-0813,"Dusty Springfield","The Look Of Love"
BP-0814,Fantastics,"Something Old Something New"
BP-0815,"Jack Jones","Wives & Lovers"
BP-0816,"Jackie DeShannon","What The World Needs Now"
BP-0817,"Jackie Trent","Make It Easy On Yourself"
BP-0818,"Wille Nelson & Julio Iglesias","To All The Girls I've Loved Before"
BP-0819,"Alan Jackson",Chatahoochee
BP-0820,"Barbara Dickson","Caravan Song"
BP-0821,"Bare Naked Ladies","One Week"
BP-0822,"Bill Haley","See You Later Alligator"
BP-0823,"Chris Farlow","Out Of Time"
BP-0824,"Daniel Boone","Beautiful Sunday"
BP-0825,"Deacon Blue","Fergus Sings The Blues"
BP-0827,"Five Satins","In The Still Of The Night"
BP-0828,"Hank Williams","Hey Good Looking"
BP-0829,"Jimmy Somerville","Never Can Say Goodbye"
BP-0830,"Joe Jackson","Is She Really Going Out With Him"
BP-0831,"Joe South","Games People Play"
BP-0832,"Kenn Dodd",Happiness
BP-0833,"LeAnn Rimes",Blue
BP-0834,"Bay City Rollers","Give A Little Love"
BP-0835,"David Dundas","Jeans On"
BP-0836,"Dolly Parton","Here You Come Again"
BP-0837,Dooleys,Wanted
BP-0838,"Dr Hook","I Don't Want To Be Alone Tonight"
BP-0839,"Dr Hook","More Like The Movies"
BP-0840,"Dr Hook","Years From Now"
BP-0841,"Electric Light Orchestra","Sweet Talkin' Woman"
BP-0842,Fortunes,"Freedom Come Freedom Go"
BP-0843,Fortunes,"Storm In A Teacup"
BP-0844,"Melba Moore","This Is It"
BP-0845,Mud,"The Cat Crept In"
BP-0846,Mud,"The Secrets You Keep"
BP-0847,Pickettywitch,"That Same Old Feeling"
BP-0848,"Suzi Quatro","If You Can't Give Me Love"
BP-0849,"Beach Boys","Barbara Ann"
BP-0850,"Boney M","Ma Baker"
BP-0851,"Bronski Beat","Small Town Boy"
BP-0852,Dollar,"Mirror Mirror"
BP-0853,Frantique,"Strut Your Funky Stuff"
BP-0854,"Joni Mitchell",California
BP-0855,"Mariah Carey",Someday
BP-0856,"Mariah Carey","You Need Me"
BP-0857,"McCartney & Jackson","The Girl Is Mine"
BP-0858,"Richard Marx",Angelia
BP-0859,"Richard Marx","Now And Forever"
BP-0860,"Simple Minds",Waterfront
BP-0861,"Tom Jones & Robbie Williams","Are You Gonna Go My Way"
BP-0862,"Dionne Warwick & Friends","That's What Friends Are For"
BP-0863,"Weird Al Yankovic","Men In Brown"
BP-0864,"Deniece Williams","Let's Hear It For the Boy"
BP-0865,"Elton John","Part Time Lover"
BP-0866,Eurythmics,"Who's That Girl"
BP-0867,Five,"When The Lights Go Out"
BP-0868,Japan,"I Second That Emotion"
BP-0869,"M C Hammer","U Can't Touch This"
BP-0870,"Mariah Carey","All In Your Mind"
BP-0871,"Matt Bianco","Get Out Of Your Lazy Bed"
BP-0872,Mobiles,"Drowning In Berlin"
BP-0873,"P J & Duncan","Let's Get Ready To Rumble"
BP-0874,Shamen,"Ebeneezer Goode"
BP-0875,Simpsons,"Do The Bartman"
BP-0876,"Tears For Fears","Mad World"
BP-0877,"Tight Fit","Fantasy Island"
BP-0878,Whispers,"And The Beat Goes On"
BP-0879,"Bob Marley","Waiting In Vain"
BP-0880,Brat,"Chalk Dust"
BP-0881,"Chas & Dave","Snooker Loopy"
BP-0882,Commodores,Lady
BP-0883,"Counting Crows","Mr Jones"
BP-0884,"David Essex","A Winter's Tale"
BP-0885,"En Vogue","My Lovin"
BP-0886,"Foo Fighters","Learn To Fly"
BP-0887,Freeze,"I O U"
BP-0888,"Janet Jackson","Black Cat"
BP-0889,"Luther Vandross","I Really Didn't Mean It"
BP-0890,"Mr Mister",Kyrie
BP-0891,Roachford,"The Way I Feel"
BP-0892,"Shakin' Stevens ","This Ole House"
BP-0893,"Sophie B Hawkins","Damn I Wish I Was Your Lover"
BP-0894,Buggles,"Video Killed The Radio Star"
BP-0895,"The Cure","Boys Don't Cry"
BP-0896,"David Gray","Say Hello, Wave Goodbye"
BP-0897,"Electric Light Orchestra","The Diary Of Horace Wimp"
BP-0898,"Ewan McGregor (Moulin Rouge)","Your Song"
BP-0899,Falco,"Rock Me Amadeus"
BP-0900,Goons,"The Ying Tong song"
BP-0901,"Hue And Cry","Labour Of Love"
BP-0902,"Johnny Cash","A World Called Love"
BP-0903,"Kate Bush",Babooshka
BP-0904,"Marty Robbins","Devil Woman"
BP-0905,"Neil Diamond","Hello Again"
BP-0906,Queen,"The Days of Our Lives"
BP-0907,"Shirley Bassey","Kiss Me Honey Honey Kiss Me"
BP-0908,"Spitting Image","The Chicken Song"
BP-0909,Strokes,"Last Nite"
BP-0910,"Ami Stewart","Knock On Wood"
BP-0911,"Cheryl Lynn","Got To Be Real"
BP-0912,"Dave Clark Five",Because
BP-0913,"Elton John","Lucy In The Sky With Diamonds"
BP-0914,Genesis,"In Too Deep"
BP-0915,Genesis,"That's All"
BP-0916,"Harry Chapin","Cat's In The Cradle"
BP-0917,"KC & The Sunshine Band","Shake Shake Shake (Shake Your Booty)"
BP-0918,"Phil Collins","One More Night"
BP-0919,"Ruby & The Romantics","Our Day Will Come"
BP-0920,"Teddy Bears","To Know Him Is To Love him"
BP-0921,"The Isley Brothers",Shout
BP-0922,"The New Seekers","Look What They've Done To My Song"
BP-0923,"Whitney Houston","All At Once"
BP-0924,"Whitney Houston","My Name Is Not Susan"
BP-0925,"Billy Joel","A Minor Variation"
BP-0926,"Coast To Coast","Do The Hucklebuck"
BP-0927,"George Michael","Heal The Pain"
BP-0928,"The Goodies","Goodies Theme"
BP-0929,"Harry Connick Jnr","It Had To Be You"
BP-0930,"Howard Jones","A Little Bit Of Snow"
BP-0931,"Michael Ball","One Step Out Of Time"
BP-0932,"Michael Bolton","Soul Provider"
BP-0933,Monkees,"Hey Hey We're The Monkees"
BP-0934,"Paul McCartney","Frog Chorus"
BP-0935,"Ray Charles & Billy Joel","Baby Grand"
BP-0936,Stereophonics,"Everyday I Think Of Money"
BP-0937,"Stevie Wonder",Lately
BP-0938,"Victoria Wood","Ballad Of Barry And Freda"
BP-0939,Yazoo,"Nobody's Diary"
BP-0940,"Beach Boys","I Can Hear Music"
BP-0941,"The Beatles","Don't Let Me Down"
BP-0942,"Doris Troy","Just One Look"
BP-0943,"Gene Pitney","If I Didn't Have A Dime"
BP-0944,"James Brown","I Got You I Feel Good"
BP-0945,"John Lennon","Beautiful Boy"
BP-0946,"Kyu Sakamoto",Sukiyaki
BP-0947,Madonna,Erotica
BP-0948,Madonna,"Live To Tell"
BP-0949,"Mary J Blige","Family Affair"
BP-0950,"Michael Jackson","One Day In Your Life"
BP-0951,Motels,"Total Control"
BP-0952,Proclaimers,"I'm On My Way"
BP-0953,"Whitney Houston","Love Will Save The Day"
BP-0954,"Whitney Houston","Why Does It Hurt So Bad"
BP-0955,"Alvin Stardust",Pretend
BP-0956,"The Beatles","Paperback Writer"
BP-0957,"Bucks Fizz","Land Of Make Believe"
BP-0958,"Cockerel Chorus","Nice One Cyril"
BP-0959,Darts,"Come Back My Love"
BP-0960,"Jimmy Ruffin","I'll Say Forever My Love"
BP-0961,"Lionel Richie","Do It To Me"
BP-0962,"Mama Cass","Dream A Little Dream Of Me"
BP-0963,"The Mamas & The Papas","Creeque Alley"
BP-0964,"The Mamas & The Papas","Monday Monday"
BP-0965,Nilsson,"Everybody's Talkin'"
BP-0966,Nilsson,"Without You"
BP-0967,"Ringo Starr","It Don't Come Easy"
BP-0968,"The Small Faces","All Or Nothing"
BP-0969,Sparks,"Beat The Clock"
BP-0970,"A Teens","Around The World"
BP-0971,"Dave Matthews Band","Space Between"
BP-0972,Five,"Closer To Me"
BP-0973,Gabrielle,"Don't Need The Sun to Shine"
BP-0975,"Hermes House Band","Country Roads"
BP-0976,Jamiroquai,"You Give Me Somethiing"
BP-0977,Kelis,"Young Fresh N New"
BP-0978,"Linkin Park","In The End"
BP-0980,"Samantha Mumba",Lately
BP-0981,"Sophie Ellis Bextor","Murder On The Dancefloor"
BP-0983,"Super Sister","Summers Gonna Come"
BP-0984,"Uncle Kracker","Follow Me"
BP-0985,Westlife,"Queen Of My Heart"
BP-0986,"Al Jarreau",Moonlighting
BP-0987,"Alanis Morrissette","I See Right Through You"
BP-0988,"Black Lace","Gang Bang"
BP-0989,"Bob Marley","Is This Love"
BP-0990,"Brotherhood Of Man",Angelo
BP-0991,"Doris Day","Perhaps Perhaps Perhaps"
BP-0992,"En Vogue","Free Your Mind"
BP-0993,"Five Star","System Addict"
BP-0994,"Miami Sound Machine","Doctor Beat"
BP-0995,"Ocean Colour Scene","Riverboat Song"
BP-0996,"Paul Young","Come Back And Stay"
BP-0997,"Shakin' Stevens ","Green Door"
BP-0998,"Shed Seven","She Left Me On A Friday "
BP-0999,"Steve Harley","Here Comes The Sun "
BP-1000,"Theme From Mash","Suicide Is Painless "
BP-1001,"Al Jarreau","We're In This Love Together"
BP-1002,"Anita Baker","Same Ol' Love"
BP-1003,"Billy Joel","All About Soul"
BP-1004,"Elton John","I'm Still Standing"
BP-1005,"Johnny Mathis","Begin The Beguine"
BP-1006,"Oscar Peterson",Sunny
BP-1007,Sade,"Your Love Is King"
BP-1008,"The Beatles","Let It Be"
BP-1009,"The Beatles","Long And Winding Road"
BP-1010,"The Beatles","Love Me Do"
BP-1011,"The Beatles","Nowhere Man"
BP-1012,Eagles,"Tequila Sunrise"
BP-1013,"Tom Jones","Funny Familiar Forgotten Feelings"
BP-1014,"Wayne Newton","Daddy Don't You Walk So Fast"
BP-1015,Wings,"Listen to What The Man Said"
BP-1016,"Barry Manilow","One Voice"
BP-1017,"Barry Manilow","When October Goes"
BP-1018,"Bob Marley","Get Up Stand Up"
BP-1019,"Brenda Russell","Piano In The Dark"
BP-1020,Caramel,"More More More"
BP-1021,Darts,"Boy From New York City"
BP-1022,Genesis,Mama
BP-1023,Genesis,"Trick Of The Tail"
BP-1024,"Jeff Healy","Confidence Man"
BP-1025,"Kiki Dee",Star
BP-1026,M,"Pop Musik"
BP-1027,"Phil Collins & Philip Bailey","Easy Lover"
BP-1028,Sting,"Nothing Bout Me"
BP-1029,"Storm Front","Storm Front"
BP-1030,"Tom Jones","You Can Leave Your Hat On"
BP-1031,A-Ha,"Hunting High And Low"
BP-1032,"Alison Moyet","All Cried Out"
BP-1033,"Alison Moyet","Love Letters"
BP-1034,"Alison Moyet","That Ole Devil Called Love"
BP-1035,"David Bowie",Fashion
BP-1036,"George Benson","In Your Eyes"
BP-1037,"Johnny Cash","One Piece At A Time"
BP-1038,Standard,"My Grandfather's Clock"
BP-1039,"The Beatles","You've Got To Hide Your Love Away"
BP-1040,"The Browns","The Three Bells"
BP-1041,Darts,"Daddy Cool"
BP-1042,"The Trammps","Zing Went The Strings Of My Heart"
BP-1043,"Tommy Steele","Brown Sugar"
BP-1044,"Tommy Steele","Little White Bull"
BP-1047,"Daniel Bedingfield","Gotta Get Thru This"
BP-1049,Five,"Rock The Party"
BP-1056,"The Tweenies","Believe In Christmas"
BP-1057,Westlife,"World Of Our Own"
BP-1060,"Backstreet Boys",Drowning
BP-1063,"George Harrison","My Sweet Lord"
BP-1064,"Gordon Haskell","How Wonderful You Are"
BP-1065,"Kylie Minogue","In Your Eyes"
BP-1067,Pink,"Get The Party Started"
BP-1068,"S Club 7",You
BP-1080,"Paul Weller","It's Written In The Stars"
BP-1086,"Christina Aguilera ft. Redman",Dirty
BP-1088,"Eve & Alicia Keys","Gangsta Lovin"
BP-1089,"Jakatta ft. Seal","My Vision"
BP-1093,Shakira,"Objection Tango"
BP-1096,"Beach Boys","Good Vibrations"
BP-1097,"Dan Hartman","Relight My Fire"
BP-1098,"Dina Carroll","Ain't No Man"
BP-1099,Eurythmics,"Here Comes The Rain Again"
BP-1100,"Gloria Estefan","Oye Mi Canto"
BP-1101,"Harry Enfield","Loads A Money"
BP-1102,Housemartins,"Happy Hour"
BP-1103,"Howard Jones","New Song"
BP-1104,"Jackson 5","Can You Feel It"
BP-1105,"Maxine Nightingale","Right Back Where We Started From"
BP-1106,"Richard Marx","Love Unemotional"
BP-1107,"Stevie Wonder","Don't You Worry About A Thing"
BP-1108,"Thompson Twins","Love On Your Side"
BP-1109,"Tom Jones & Natalie Imbruglia","Never Tear Us Apart"
BP-1110,Wombles,"Remember You're a Womble"
GP-0001,"Katrina & The Waves ","Walking On Sunshine"
GP-0003,"Katy Perry ","I Kissed A Girl"
GP-0004,"Katy Perry ","Last Friday Night (T.G.I.F.)"
GP-0006,"Katy Perry ft. Juicy J ","Dark Horse (For Solo Female)"
GP-0007,"Keane ","Somewhere Only We Know"
GP-0008,"Kelly Clarkson ","Since U Been Gone"
GP-0009,"Kenny Rogers ","The Gambler"
GP-0011,"Kids Karaoke ","Twinkle Twinkle Little Star"
GP-0012,"Killers ",Human
GP-0015,"Kings Of Leon ","Use Somebody"
GP-0016,"Kinks ",Lola
GP-0018,"Kylie Minogue ","Santa Baby"
GP-0019,"Kylie Minogue & Jason Donovan","Especially For You"
GP-0020,"Labrinth ft. Emeli Sande ","Beneath Your Beautiful"
GP-0021,ABBA,"The Winner Takes It All"
GP-0022,ABC,"The Look Of Love"
GP-0023,"Adam And The Ants","Stand and Deliver"
GP-0024,Aerosmith,Angel
GP-0025,A-Ha,"Take On Me"
GP-0028,"Aretha Franklin & George Michael","I Knew You Were Waiting For Me"
GP-0029,Aswad,"Don't Turn Around"
GP-0031,Bananarama,Venus
GP-0032,Bangles,"Eternal Flame"
GP-0033,"Barbara Streisand","Woman In Love"
GP-0034,"Barbara Streisand",Memory
GP-0036,"Belinda Carlisle","Heaven Is A Place On Earth"
GP-0039,"Billy Idol","White Wedding"
GP-0040,"Billy Ocean","When The Going Gets Tough"
GP-0041,Black,"Wonderful Life"
GP-0042,Blondie,"The Tide Is High"
GP-0043,Blondie,Atomic
GP-0045,Bluebells,"Young at Heart"
GP-0047,"Bon Jovi","You Give Love A Bad Name"
GP-0048,"Bon Jovi","It's My Life"
GP-0049,"Bonnie Tyler ","Holding Out For A Hero"
GP-0050,"Bruce Springsteen ","Born In The U.S.A."
GP-0051,"Bryan Adams","Run To You"
GP-0053,"Bucks Fizz","Making Your Mind Up"
GP-0054,Cars,Drive
GP-0055,Cher,"If I Could Turn Back Time"
GP-0056,"Cher ","Walking In Memphis"
GP-0057,"Chris De Burgh","Lady In Red"
GP-0058,"Culture Club","Do You Really Want To Hurt Me"
GP-0059,"Celine Dion","All By Myself"
GP-0060,Communards,"Don't Leave Me This Way"
GP-0061,"Cutting Crew","(I Just) Died In Your Arms Tonight"
GP-0063,"Cyndi Lauper","Time After Time"
GP-0064,"Cyndi Lauper ","True Colours"
GP-0065,"David Bowie","Ashes to Ashes"
GP-0066,"David Bowie","Lets Dance"
GP-0067,"Dead or Alive","You Spin Me Around"
GP-0068,"Depeche Mode","Just Can't Get Enough"
GP-0070,"Diana Ross & Lionel Ritchie","Endless Love"
GP-0072,"Donny Osmond","Young Love"
GP-0074,"Duran Duran",Rio
GP-0075,"Duran Duran","Girls On Film"
GP-0076,"Eddy Grant","I Don't Wanna Dance"
GP-0077,"Eric Carmen","Hungry Eyes"
GP-0078,Jam,"Going Underground"
GP-0079,"Joan Jett & The Blackhearts","I Love Rock N Roll"
GP-0080,"Joe Cocker & Jennifer Warnes","Up Where We Belong"
GP-0081,"John Lennon","Jealous Guy"
GP-0082,Journey,"Don't Stop Believin'"
GP-0084,"KC & The Sunshine Band","Give It Up"
GP-0085,"Kelly Marie","Feels Like I'm In Love"
GP-0086,"Kenny Loggins",Footloose
GP-0087,"Kim Carnes","Bette Davis Eyes"
GP-0088,"Kim Wilde","Kids in America"
GP-0092,"Les Miserables","I Dreamed A Dream"
GP-0093,"Lionel Ritchie","All Night Long"
GP-0094,"Lionel Ritchie",Hello
GP-0095,"Los Lobos","La Bamba"
GP-0096,Madness,"Baggy Trousers"
GP-0097,Madness,"Our House"
GP-0098,Madonna,"Crazy For You"
GP-0099,Madonna,"Like A Virgin"
GP-0101,"Melle Mel & Grandmaster Flash","White Lines (Don't Do It)"
GP-0102,"Men At Work","Down Under"
GP-0103,"Michael Jackson","Billie Jean"
GP-0105,"Michael Jackson","Smooth Criminal"
GP-0106,Nena,"99 Red Balloons"
GP-0107,"Patrick Swayze","She's Like The Wind"
GP-0108,"Paul Young","Wherever I Lay My Hat (That's My Home)"
GP-0109,"Pet Shop Boys","West End Girls"
GP-0110,"Peter Cetera","Glory Of Love"
